cer	t͡ʃ e r
descoperire	d ɛ s k o p ɛ r i r ɛ
supsesem	s u p s e s e m
sfârșitul	s f ɨ r ʃ i t u
lascivitate	l a s t͡ʃ i v i t a t e
primitul	p r i m i t u l
delirezi	d e l i r e zʲ
numirăm	n u m i r ə m
baia	b a j a
zahărul	z a h ə r u l
primite	p r i m i t e
mișca	m i ʃ k a
sorina	s o r i n a
spui	s p u j
stupidități	s t u p i d i t ə t͡sʲ
știință	ʃ t i i n t͡s ə
oprește	o p r e ʃ t e
masturbatelor	m a s t u r b a t e l o r
călătoriseși	k ə l ə t o r i s e ʃʲ
controlaseră	k o n t r o l a s e r ə
fumeze	f u m e z e
zăpușitele	z ə p u ʃ i t e l e
treabă	t r e̯ a b ə
delimitam	d e l i m i t a m
îmbunătățească	ɨ m b u n ə t ə t s j a s k ə
gândeau	ɡ ɨ n d j a w
clădiseră	k l ə d i s e r ə
gravitară	ɡ r a v i t a r ə
pregătirăți	p r e ɡ ə t i r ə t sʲ
fumase	f u m a s e
frumoaselor	f r u m o̯ a s e l o r
călătoritelor	k ə l ə t o r i t e l o r
orientaseră	o r i e n t a s e r ə
funcționaseră	f u n k t͡s i o n a s e r ə
distrau	d i s t r a w
armăsarul	a r m ə s a r u
deranjarăți	d e r a n ʒ a r ə t sʲ
lucia	l u t ʃ j a
tentași	t e n t a ʃʲ
gravitați	ɡ r a v i t a t͡sʲ
fuma	f u m a
frecarăm	f r e k a r ə m
unde	u n d e
asurzirăți	a s u r z i r ə t sʲ
găsitului	ɡ ə s i t u l u j
futuse	f u t u s e
folositului	f o l o s i t u l u j
nălucitelor	n ə l u t͡ʃ i t e l o r
indiscret	i n d i s k r e t
stimulaserăm	s t i m u l a s e r ə m
regine	r e d͡ʒ i n e
râu	r ɨ w
fapt	f a p t
pițipoancă	p i t s i p w a ŋ k ə
analizaseră	a n a l i z a s e r ə
protejasem	p r o t e ʒ a s e m
interesant	i n t e r e s a n t
sacru	s a k r u
delirași	d e l i r a ʃʲ
prietene	p r i e t e n e
spere	s p e r e
necăjirăți	n e k ə ʒ i r ə t sʲ
haiduci	h a j d u t ʃʲ
narcotica	n a ɾ k o t i k a
vutcă	v u t k ə
folosea	f o l o s j a
masturbaților	m a s t u r b a t͡s i l o r
clădeau	k l ə d j a w
pornirăți	p o r n i r ə t sʲ
mic	m i k
scrotale	s k r o t a l e
iubim	j u b i m
abandonarăți	a b a n d o n a r ə t sʲ
scrumierelor	s k r u m i e r e l o r
gândește	ɡ ɨ n d e ʃ t e
răpiseși	r ə p i s e ʃʲ
scurtești	s k u r t ɛ ʃ tʲ
spovediții	s p o v e d i t͡s iː
cocori	k o k o rʲ
șantajară	ʃ a n t a ʒ a r ə
pești	p e ʃ tʲ
sufăr	s u f ə r
sodomizații	s o d o m i z a t͡s iː
sunete	s u n e t e
orgasm	o r ɡ a s m
organizație	o r ɡ a n i z a t s i e
mărturisii	m ə r t u r i s iː
părinți	p ə r i n t͡sʲ
pregătiserăm	p r e ɡ ə t i s e r ə m
elasticitate	e l a s t i t͡ʃ i t a t e
cel	t ʃ e l
brazilian	b r a z i l i a n
distrasem	d i s t r a s e m
deștepta	d e ʃ t e p t a
stimularăți	s t i m u l a r ə t sʲ
clădeai	k l ə d j a j
citiseră	t ʃ i t i s e r ə
întoarceți	ɨ n t w a r t͡ʃ e t͡sʲ
nereal	n e r e a l
libidinos	l i b i d i n o s
formelor	f o r m e l o r
valea	v a lʲ e̯ a
delicios	d e l i t͡ʃ j o s
opritei	o p r i t e j
dușmănește	d u ʃ m ə n e ʃ t e
gravita	ɡ r a v i t a
șoptiseră	ʃ o p t i s e r ə
număr	n u m ə r
gândim	ɡ ɨ n d i m
folosisem	f o l o s i s e m
orice	o rʲ t͡ʃ e
șantajatul	ʃ a n t a ʒ a t u l
orientaserăm	o r i e n t a s e r ə m
biserică	b i s e r i k ə
minusculă	m i n u s k u l ə
pregătiserăți	p r e ɡ ə t i s e r ə t sʲ
pornografilor	p o r n o ɡ r a f i l o r
delimitaserăm	d e l i m i t a s e r ə m
terminai	t e r m i n a j
nemilă	n e m i l ə
pornisem	p o r n i s e m
făcut	f ə k u t
ionuț	i o n u t͡s
întării	ɨ n t ə r iː
inimă	i n i m ə
manechinului	m a n e k i n u l u j
portocal	p o ɾ t o k a l
tentaseră	t e n t a s e r ə
gândită	ɡ ɨ n d i t ə
vei	v e j
tătărușanu	t ə t ə r u ʃ a n u
fuseserăți	f u s e s e r ə t͡sʲ
cartilaj	k a r t i l a ʒ
cenzuraserăm	t͡ʃ e n z u r a s e r ə m
ultimi	u l t i mʲ
slovenul	s l o v e n u
buzărnescu	b u z ə r n e s k u
clăditul	k l ə d i t u l
funcționasem	f u n k t͡s i o n a s e m
apele	a p e l e
sodomizatul	s o d o m i z a t u
dușmănitei	d u ʃ m ə n i t e j
pilotară	p i l o t a a r ə
sălbatici	s ə l b a t i t͡ʃʲ
înzestrez	ɨ n z e s t r e z
zăpușită	z ə p u ʃ i t ə
numitei	n u m i t e j
creaseră	k r e a s e r ə
argintiu	a ɾ d͡ʒ i n t i w
cenzurarăm	t͡ʃ e n z u r a r ə m
asurzeam	a s u r z j a m
animali	a n i m a lʲ
iubirăm	j u b i r ə m
orientez	o r i e n t e z
boală	b w a l ə
speri	s p e rʲ
dicționarele	d i k t͡s i o n a r e l e
ajunge	a ʒ u n d͡ʒ e
dușmănisem	d u ʃ m ə n i s e m
frățesc	f r ə t͡s e s k
veștejitul	v e ʃ t e ʒ i t u l
lipsitele	l i p s i t e l e
mărturisea	m ə r t u r i s j a
pizda	p i z d a
sugeați	s u d͡ʒ e̯ a t͡sʲ
numere	n u m e r e
distrară	d i s t r a r ə
masturbat	m a s t u r b a t
apocaliptica	a p o k a l i p t i k a
invizibilitate	i n v i z i b i l i t a t e
cadavrele	k a d a v r e l e
asurzitele	a s u r z i t e l e
protejând	p r o t e ʒ ɨ n d
erai	e r a j
uri	u rʲ
călătoream	k ə l ə t o r j a m
accelerasem	a k t͡ʃ e l e r a s e m
nominale	n o m i n a l e
necăjitelor	n e k ə ʒ i t e l o r
spovedise	s p o v e d i s e
indiscrete	i n d i s k r e t e
fuți	f u t͡sʲ
necăjii	n e k ə ʒ iː
tatuasem	t a t u a s e m
spectre	s p e k t r e
gravitarăți	ɡ r a v i t a r ə t sʲ
spovedeam	s p o v e d j a m
înălțime	ɨ n ə l t͡s i m e
masturbă	m a s t u r b ə
răpim	r ə p i m
accelereze	a k t͡ʃ e l e r e z e
omniprezenta	o m n i p r e z e n t a
cerbice	t ʃ e r b i t ʃ e
îmbunătățisem	ɨ m b u n ə t ə t s i s e m
răpiseră	r ə p i s e r ə
asurziseși	a s u r z i s e ʃʲ
iubise	j u b i s e
dicționarelor	d i k t͡s i o n a r e l o r
cadavru	k a d a v r u
zăpușește	z ə p u ʃ e ʃ t e
futu	f u t u
sodomizezi	s o d o m i z e zʲ
sodomizară	s o d o m i z a r ə
noroc	n o r o k
amariliși	a m a r i l i ʃʲ
bei	b e j
întâlniți	ɨ n t ɨ l n i t͡sʲ
harpă	h a r p ə
somnambulist	s o m n a m b u l i s t
burtă	b u r t ə
iarăși	j a r ə ʃʲ
veștejirăm	v e ʃ t e ʒ i r ə m
pot	p o t
vedem	v e d e m
vorbesc	v o r b e s k
apei	a p e j
distractiv	d i s t r a k t i v
sexologie	s e k s o l o d ʒ i e
folosit	f o l o s i t
om	o m
mulțumite	m u l t͡s u m i t e
ușile	u ʃ i l e
futurăți	f u t u r ə t͡sʲ
excavez	e k s k a v e z
aveți	a v e t sʲ
tunet	t u n e t
regină	r e d͡ʒ i n ə
esență	e s e n t s ə
despre	d e s p r e
întristaserăți	ɨ n t r i s t a s e r ə t sʲ
prea	p r e̯ a
ani	a nʲ
aducător	a d u k ə t o r
chelner	k e l n e r
sfârșise	s f ɨ r ʃ i s e
gândești	ɡ ɨ n d e ʃ tʲ
întristat	ɨ n t r i s t a t
elizeul	e l i z e w l
bondar	b o n d a r
interveni	i n t e r v e n i
iubiseși	j u b i s e ʃʲ
asurziserăți	a s u r z i s e r ə t sʲ
fă	f ə
amintește	a m i n t e ʃ t e
inflorescență	i n f l o ɾ e s t ʃ e n t s ə
mulțumiților	m u l t͡s u m i t͡s i l o r
deranjară	d e r a n ʒ a r ə
perineul	p e r i n e u l
lebădă	l e b ə d ə
locui	l o k u i
plictisisem	p l i k t i s i s e m
virgule	v i r ɡ u l e
supserăți	s u p s e r ə t͡sʲ
puteți	p u t e t͡sʲ
cicatrice	t͡ʃ i k a t r i t͡ʃ e
mulțumiserăți	m u l t s u m i s e r ə t sʲ
trăi	t r ə i
păianjenilor	p ə j a n ʒ e n i l o r
beri	b e rʲ
brunei	b r u n e j
răi	r ə j
alfabetul	a l f a b e t u
gândească	ɡ ɨ n d j a s k ə
necăjind	n e k ə ʒ i n d
tatuează	t a t u j a z ə
spovedește	s p o v e d e ʃ t e
studiai	s t u d j a j
fututele	f u t u t e l e
abandonarăm	a b a n d o n a r ə m
spermele	s p e r m e l e
anonima	a n o n i m a
veri	v e rʲ
română	r o m ɨ n ə
spre	s p r e
găsirăm	ɡ ə s i r ə m
limbi	l i m b i
controlarăm	k o n t r o l a r ə m
bestial	b e s t i a l
călătoriserăți	k ə l ə t o r i s e r ə t sʲ
necăjitul	n e k ə ʒ i t u
iubeai	j u bʲ æ j
accelerez	a k t͡ʃ e l e r e z
deranjase	d e r a n ʒ a s e
răpind	r ə p i n d
abandonaseră	a b a n d o n a s e r ə
frecaserăm	f r e k a s e r ə m
manechinele	m a n e k i n e l e
bărbatului	b ə r b a t u l u j
orienteze	o r i e n t e z e
moldovenești	m o l d o v e n e ʃ tʲ
plictisiseși	p l i k t i s i s e ʃʲ
faptul	f a p t u l
oți	o t͡sʲ
macabrului	m a k a b r u l u j
bunic	b u n i k
stimulase	s t i m u l a s e
răpiți	r ə p i t͡sʲ
erotic	e r o t i k
șantajat	ʃ a n t a ʒ a t
clăditei	k l ə d i t e j
spoveditele	s p o v e d i t e l e
descrie	d e s k r i j e
găsiți	ɡ ə s i t͡sʲ
zăpușiserăm	z ə p u ʃ i s e r ə m
întristează	ɨ n t r i s t j a z ə
excavaseră	e k s k a v a s e r ə
capul	k a p u
pregătitul	p r e ɡ ə t i t u l
zăpușeam	z ə p u ʃ j a m
prioritate	p r i j o r i t a t e
bulgărește	b u l ɡ ə r e ʃ t e
perfectaseră	p e r f e k t a s e r ə
timp	t i m p
misterioasa	m i s t e r i o̯ a s a
zăpușiți	z ə p u ʃ i t͡sʲ
veștejiseși	v e ʃ t e ʒ i s e ʃʲ
bulbuca	b u l b u k a
găsea	ɡ ə s j a
elizeul	e l i z e w
stimul	s t i m u l
mulțumeam	m u l t s u m j a m
limităm	l i m i t ə m
copleșitoarei	k o p l e ʃ i t o̯ a r e j
închide	ɨ n k i d e
făgăraș	f ə ɡ ə r a ʃ
pornitele	p o r n i t e l e
tânji	t ɨ n ʒ i
mărturisiserăți	m ə r t u r i s i s e r ə t sʲ
haos	h a o s
niculescu	n i k u l e s k u
ceri	t ʃ e rʲ
asurzită	a s u r z i t ə
răpești	r ə p e ʃ tʲ
limitai	l i m i t a j
aalenian	aː l e n i a n
pornit	p o r n i t
delirant	d e l i r a n t
sodomizaseră	s o d o m i z a s e r ə
numeau	n u m j a w
necăjeam	n e k ə ʒ j a m
frece	f r e t͡ʃ e
româneștii	r o m ɨ n e ʃ t i j
îmbunătățit	ɨ m b u n ə t ə t s i t
fonetici	f o n e t i t͡ʃʲ
numește	n u m e ʃ t e
sunteți	s u n t e t͡sʲ
folositele	f o l o s i t e l e
limita	l i m i t a
lipsiții	l i p s i t͡s iː
lipsiră	l i p s i r ə
pornograficilor	p o r n o ɡ r a f i t͡ʃ i l o r
îmbunătățite	ɨ m b u n ə t ə t͡s i t e
tatua	t a t u a
joc	ʒ o k
ăsteia	ə s t e j a
excavam	e k s k a v a m
macedonia	m a t͡ʃ e d o n i a
veștejitelor	v e ʃ t e ʒ i t e l o r
curvă	k u r v ə
plictisit	p l i k t i s i t
umiditate	u m i d i t a t e
fumăm	f u m ə m
ramură	ɾ a m u ɾ ə
distram	d i s t r a m
vorbeai	v o r bʲ æ j
anusului	a n u s u l u j
supsese	s u p s e s e
accelerară	a k t͡ʃ e l e r a r ə
pregătind	p r e ɡ ə t i n d
face	f a t ʃ e
os	o s
cultură	k u l t u r ə
capacitate	k a p a t ʃ i t a t e
deschide	d e s k i d e
cărtărescu	k ə r t ə r e s k u
necăji	n e k ə ʒ i
asurziseră	a s u r z i s e r ə
torturând	t o r t u r ɨ n d
abandonez	a b a n d o n e z
exemplele	e ɡ z e m p l e l e
spovediși	s p o v e d i ʃʲ
răbdare	r ə b d a r e
nălucitului	n ə l u t͡ʃ i t u l u j
zei	z e j
pinten	p i n t e n
fuseserăm	f u s e s e r ə m
iluzoriilor	i l u z o r iː l o r
tatuau	t a t u a w
formei	f o r m e j
cuvântul	k u v ɨ n t u
întâlnitul	ɨ n t ɨ l n i t u
creștin	k r e ʃ t i n
suflet	s u f l e t
păcat	p ə k a t
primim	p r i m i m
citirăți	t ʃ i t i r ə t sʲ
pretutindeni	p r e t u t i n d e nʲ
futuții	f u t u t͡s iː
norul	n o r u l
întăriserăți	ɨ n t ə r i s e r ə t sʲ
pornografii	p o r n o ɡ r a f iː
torturam	t o r t u r a m
numitelor	n u m i t e l o r
asurzirăm	a s u r z i r ə m
apocalipticului	a p o k a l i p t i k u l u j
întâiul	ɨ n t ɨ j u l
asurzitului	a s u r z i t u l u j
proști	p r o ʃ tʲ
beregate	b e r e ɡ a t e
lexem	l e k s e m
cântăreți	k ɨ n t ə r e t͡sʲ
sodomizata	s o d o m i z a t a
călătoriseră	k ə l ə t o r i s e r ə
spoveditei	s p o v e d i t e j
dușmănirăți	d u ʃ m ə n i r ə t sʲ
foste	f o s t e
călătoriți	k ə l ə t o r i t͡sʲ
enigmatica	e n i ɡ m a t i k a
femeiește	f e m e j e ʃ t e
coadă	kʷ a d ə
înzestrând	ɨ n z e s t r ɨ n d
părăsi	p ə r ə s i
elizee	e l i z eː
sexualul	s e k s u a l u
analizară	a n a l i z a r ə
flacără	f l a k ə r ə
biofizician	b i o f i z i t͡ʃ j a n
sicriu	s i k r i w
numi	n u m i
distrași	d i s t r a ʃʲ
lipsitului	l i p s i t u l u j
dacă	d a k ə
fiică	f i j k ə
lipsit	l i p s i t
traducere	t r a d u t͡ʃ e r e
păianjenul	p ə j a n ʒ e n u l
recunoscut	r e k u n o s k u t
jucărie	ʒ u k ə r i e
distrai	d i s t r a j
perfecți	p e r f e k t͡sʲ
făcuși	f ə k u ʃʲ
observații	o b s e r v a t͡s iː
palma	p a l m a
întristai	ɨ n t r i s t a j
adaptabilitate	a d a p t a b i l i t a t e
funcționăm	f u n k t͡s i o n ə m
acestor	a t͡ʃ e s t o r
bibliotecă	b i b l i o t e k ə
alcoolici	a l k o o l i t͡ʃʲ
mâncați	m ɨ ŋ k a t͡sʲ
fonetica	f o n e t i k a
lingurii	l i ŋ ɡ u r iː
laptele	l a p t e l e
ceaușescu	t͡ʃ e̯ a u ʃ e s k u
valahia	v a l a x i a
perfectând	p e r f e k t ɨ n d
faptului	f a p t u l u j
comoară	k o m o̯ a r ə
slovenul	s l o v e n u l
găsit	ɡ ə s i t
tatuarăm	t a t u a r ə m
erați	e r a t͡sʲ
curului	k u r u l u j
evlavioase	e v l a v i o̯ a s e
gânditele	ɡ ɨ n d i t e l e
băiețelul	b ə j e t͡s e l u
terminasem	t e r m i n a s e m
îmbunătățitelor	ɨ m b u n ə t ə t͡s i t e l o r
mărturiseau	m ə r t u r i s j a w
bogdan	b o ɡ d a n
catalane	k a t a l a n e
șoptitelor	ʃ o p t i t e l o r
călătoritul	k ə l ə t o r i t u l
tentară	t e n t a r ə
șantajul	ʃ a n t a ʒ u
marijuana	m a r i w a n a
pregătită	p r e ɡ ə t i t ə
revista	r e v i s t a
avantaje	a v a n t a ʒ e
primise	p r i m i s e
primisem	p r i m i s e m
iubirii	j u b i r iː
anusul	a n u s u
apocalipsul	a p o k a l i p s u
surori	s u r o rʲ
tatuase	t a t u a s e
native	n a t i v e
masturbez	m a s t u r b e z
buca	b u k a
amurg	a m u ɾ ɡ
conjuncție	k o n ʒ u n k t͡s i e
dorința	d o r i n t͡s a
excavarăm	e k s k a v a r ə m
mâncau	m ɨ n k a w
ignorai	i ɡ n o r a j
grăbeai	ɡ r ə b j a j
ăla	ə l a
fertilitate	f e r t i l i t a t e
lipsiserăți	l i p s i s e r ə t sʲ
arșiță	a r ʃ i t s ə
mănușă	m ə n u ʃ ə
frați	f r a t͡sʲ
șoptită	ʃ o p t i t ə
prezervativul	p r e z e r v a t i v u
masturbarăm	m a s t u r b a r ə m
călătoriții	k ə l ə t o r i t͡s iː
circumcide	t͡ʃ i r k u m t͡ʃ i d e
prietenele	p r i e t e n e l e
deveni	d e v e n i
fuserăm	f u s e r ə m
clădi	k l ə d i
îmbunătățiseră	ɨ m b u n ə t ə t s i s e r ə
femeie	f e m e j e
tatuă	t a t u ə
sau	s a w
sexualul	s e k s u a l u l
sinagogă	s i n a ɡ o ɡ ə
macabrelor	m a k a b r e l o r
suflete	s u f l e t e
jupui	ʒ u p u i
lituania	l i t u a n i a
gânditelor	ɡ ɨ n d i t e l o r
călătorești	k ə l ə t o r e ʃ tʲ
mor	m o r
mâncând	m ɨ n k ɨ n d
fetei	f e t e j
brâncă	b r ɨ n k ə
pornografiile	p o r n o ɡ r a f iː l e
îndoi	ɨ n d o i
clăditul	k l ə d i t u
folosite	f o l o s i t e
spovedind	s p o v e d i n d
bardou	b a r d o w
stimulezi	s t i m u l e zʲ
plictisii	p l i k t i s iː
scrumieră	s k r u m i e r ə
nălucea	n ə l u t ʃ j a
șantajiști	ʃ a n t a ʒ i ʃ tʲ
iași	j a ʃʲ
susure	s u s u r e
freci	f r e t͡ʃʲ
clăditelor	k l ə d i t e l o r
homosexualul	h o m o s e k s u a l u l
urăsc	u r ə s k
bănui	b ə n u i
scuzi	s k u zʲ
sfârșească	s f ɨ r ʃ j a s k ə
distrez	d i s t r e z
fost	f o s t
formară	f o r m a r ə
iluzoriii	i l u z o r i j i
mulțumiți	m u l t͡s u m i t͡sʲ
mărturisiți	m ə r t u r i s i t͡sʲ
modificat	m o d i f i k a t
opreați	o p r j a t sʲ
era	j e r a
morții	m o r t͡s iː
limitaserăm	l i m i t a s e r ə m
nici	n i t ʃʲ
orientară	o r i e n t a r ə
ajuta	a ʒ u t a
clădiților	k l ə d i t͡s i l o r
sacoșă	s a k o ʃ ə
prietenul	p r i e t e n u l
delimitară	d e l i m i t a r ə
jachetă	ʒ a k e t ə
lipsim	l i p s i m
tatuarăți	t a t u a r ə t sʲ
habar	h a b a r
tatuajului	t a t u a ʒ u l u j
pornea	p o r n j a
finitate	f i n i t a t e
formatul	f o r m a t u l
irațional	i r a t͡s i o n a l
sânge	s ɨ n d͡ʒ e
spovedești	s p o v e d e ʃ tʲ
pandora	p a n d o r a
capul	k a p u l
facem	f a t͡ʃ e m
masturbezi	m a s t u r b e zʲ
dușmănite	d u ʃ m ə n i t e
manechin	m a n e k i n
perete	p e r e t e
zonele	z o n e l e
somnifer	s o m n i f e ɾ
popularitate	p o p u l a r i t a t e
opriserăm	o p r i s e r ə m
primiră	p r i m i r ə
dușmăniși	d u ʃ m ə n i ʃʲ
simionescu	s i m i o n e s k u
călătorește	k ə l ə t o r e ʃ t e
fuși	f u ʃʲ
ejaculeze	e ʒ a k u l e z e
gânditei	ɡ ɨ n d i t e j
slovenului	s l o v e n u l u j
plictisească	p l i k t i s j a s k ə
deranjează	d e r a n ʒ j a z ə
futute	f u t u t e
nup	n u p̚
băiețași	b ə j e t͡s a ʃʲ
întâlnește	ɨ n t ɨ l n e ʃ t e
lucruri	l u k r u rʲ
răpisem	r ə p i s e m
făcea	f ə t͡ʃ e̯ a
părintește	p ə r i n t e ʃ t e
hai	h a j
dicționarul	d i k t͡s i o n a r u
sângerezi	s ɨ n d͡ʒ e r e zʲ
faceți	f a t͡ʃ e t͡sʲ
prezervativul	p r e z e r v a t i v u l
vampiri	v a m p i rʲ
oferi	o f e r i
delimităm	d e l i m i t ə m
frumoșilor	f r u m o ʃ i l o r
fumaserăți	f u m a s e r ə t sʲ
întâlniși	ɨ n t ɨ l n i ʃʲ
ploios	p l o j o s
lsd	e l e s d e
clădisem	k l ə d i s e m
ștefănescu	ʃ t e f ə n e s k u
ion	i o n
perfectează	p e r f e k t j a z ə
dicționare	d i k t͡s i o n a r e
elimina	e l i m i n a
puță	p u t s ə
fim	f i m
iubirilor	j u b i r i l o r
vocală	v o k a l ə
protejase	p r o t e ʒ a s e
slovenia	s l o v e n i a
complexe	k o m p l e k s e
întâlneau	ɨ n t ɨ l n j a w
centrale	t͡ʃ e n t ɾ a l e
borî	b o r ɨ
votcă	v o t k ə
accelerarăți	a k t͡ʃ e l e r a r ə t sʲ
pregătitele	p r e ɡ ə t i t e l e
imaturitate	i m a t u r i t a t e
șoaptă	ʃ o̯ a p t ə
veștejește	v e ʃ t e ʒ e ʃ t e
sodomizând	s o d o m i z ɨ n d
pregăti	p r e ɡ ə t i
folositei	f o l o s i t e j
smochină	s m o k i n ə
elveția	e l v e t͡s i a
antonescu	a n t o n e s k u
șabat	ʃ a b a t
cere	t͡ʃ e r e
funcționarăți	f u n k t͡s i o n a r ə t sʲ
culturii	k u l t u r iː
gravităm	ɡ r a v i t ə m
orientăm	o r i e n t ə m
sfârșeam	s f ɨ r ʃ j a m
gândiții	ɡ ɨ n d i t͡s iː
masturbară	m a s t u r b a r ə
sfârșiților	s f ɨ r ʃ i t͡s i l o r
întăreau	ɨ n t ə r j a w
asurziserăm	a s u r z i s e r ə m
sunetelor	s u n e t e l o r
limitam	l i m i t a m
fundamentală	f u n d a m e n t a l ə
simplă	s i m p l ə
promite	p r o m i t e
grăbirăm	ɡ r ə b i r ə m
bem	b e m
mărturisise	m ə r t u r i s i s e
orientau	o r i e n t a w
serii	s e r iː
plictisea	p l i k t i s j a
veștejeai	v e ʃ t e ʒ e̯ a j
armăsarii	a r m ə s a r iː
publicitate	p u b l i t͡ʃ i t a t e
fumarăți	f u m a r ə t sʲ
nălucești	n ə l u t ʃ e ʃ tʲ
manechinul	m a n e k i n u l
croația	k r o a t͡s i a
călătorită	k ə l ə t o r i t ə
cadavre	k a d a v r e
ubicuelor	u b i k u e l o r
clădii	k l ə d iː
elizeului	e l i z e w l u j
tari	t a rʲ
comunitate	k o m u n i t a t e
masturba	m a s t u r b a
protejași	p r o t e ʒ a ʃʲ
românească	r o m ɨ n e̯ a s k ə
observa	o p s e ɾ v a
umeraș	u m e r a ʃ
madalina	m a d a l i n a
extern	e k s t e r n
masturbata	m a s t u r b a t a
aștepta	a ʃ t e p t a
primita	p r i m i t a
întâlniră	ɨ n t ɨ l n i r ə
triste	t r i s t e
accelerează	a k t͡ʃ e l e r j a z ə
întâlni	ɨ n t ɨ l n i
vulvă	v u l v ə
formeze	f o r m e z e
gândisem	ɡ ɨ n d i s e m
futurăm	f u t u r ə m
sângeraserăm	s ɨ n d͡ʒ e r a s e r ə m
dap	d a p
copia	k o p i a
șoptiserăți	ʃ o p t i s e r ə t sʲ
necăjitele	n e k ə ʒ i t e l e
scrii	s k r iʲ
văii	v ə j i
zăpușiră	z ə p u ʃ i r ə
eram	e r a m
eu	j e w
clădim	k l ə d i m
copleșitorul	k o p l e ʃ i t o r u
numeam	n u m j a m
citiților	t͡ʃ i t i t͡s i l o r
analizași	a n a l i z a ʃʲ
după	d u p ə
lingurilor	l i ŋ ɡ u r i l o r
vorbească	v o r b e̯ a s k ə
drăgălaș	d r ə ɡ ə l a ʃ
trebuia	t r e b u j a
primiți	p r i m i t͡sʲ
antarctica	a n t a r k t i k a
dinte	d i n t e
cadavrului	k a d a v r u l u j
înzestrarăm	ɨ n z e s t r a r ə m
întâlnească	ɨ n t ɨ l n j a s k ə
anarhistă	a n a r h i s t ə
veștejea	v e ʃ t e ʒ e̯ a
timpuri	t i m p u rʲ
pornitei	p o r n i t e j
catalan	k a t a l a n
sfârșiserăți	s f ɨ r ʃ i s e r ə t sʲ
mâncași	m ɨ n k a ʃʲ
portret	p o r t r e t
bune	b u n e
sfârșeai	s f ɨ r ʃ j a j
iubii	j u b iː
câștigi	k ɨ ʃ t i d͡ʒʲ
futem	f u t e m
citeați	t ʃ i t j a t sʲ
mulți	m u l t͡sʲ
abandona	a b a n d o n a
numit	n u m i t
domn	d o m n
clădita	k l ə d i t a
călătoritului	k ə l ə t o r i t u l u j
analizase	a n a l i z a s e
sângerarăm	s ɨ n d͡ʒ e r a r ə m
ejaculăm	e ʒ a k u l ə m
așa	a ʃ a
așteptat	a ʃ t e p t a t
genă	d͡ʒ e n ə
răpeam	r ə p j a m
sângeraserăți	s ɨ n d͡ʒ e r a s e r ə t sʲ
ejaculaserăți	e ʒ a k u l a s e r ə t sʲ
îmbunătățea	ɨ m b u n ə t ə t s j a
desigur	d e s i ɡ u r
scrotalului	s k r o t a l u l u j
rezista	r e z i s t a
sfârșiții	s f ɨ r ʃ i t͡s iː
ecosistem	e k o s i s t e m
porniși	p o r n i ʃʲ
mascul	m a s k u l
ușii	u ʃ iʲ
nălucitul	n ə l u t͡ʃ i t u l
aminti	a m i n t i
poziție	p o z i t s i e
accelerezi	a k t͡ʃ e l e r e zʲ
futut	f u t u t
ușuratic	u ʃ u r a t i k
sangvin	s a n ɡ v i n
iubită	j u b i t ə
zăpușirăți	z ə p u ʃ i r ə t sʲ
cartof	k a r t o f
macabrilor	m a k a b r i l o r
șantajistul	ʃ a n t a ʒ i s t u
numelor	n u m e l o r
frumoasei	f r u m o̯ a s e j
torturase	t o r t u r a s e
zăpușirăm	z ə p u ʃ i r ə m
înzestraseși	ɨ n z e s t r a s e ʃʲ
suveran	s u v e ɾ a n
apocalips	a p o k a l i p s
păianjenul	p ə j a n ʒ e n u
ruta	r u t a
gândita	ɡ ɨ n d i t a
seduce	s e d u t ʃ e
spovedea	s p o v e d j a
fețelor	f e t s e l o r
glonț	ɡ l o n t͡s
manechine	m a n e k i n e
mărturisiră	m ə r t u r i s i r ə
colan	k o l a n
capete	k a p e t e
sodomizăm	s o d o m i z ə m
mărturisești	m ə r t u r i s e ʃ tʲ
republică	r e p u b l i k ə
sfârșite	s f ɨ r ʃ i t e
copilărește	k o p i l ə r e ʃ t e
pregătiseră	p r e ɡ ə t i s e r ə
cuvintelor	k u v i n t e l o r
pulă	p u l ə
urinarăți	u r i n a r ə t sʲ
plictisi	p l i k t i s i
unul	u n u l
rodie	r o d i e
scrumierei	s k r u m i e r e j
lipsitul	l i p s i t u l
masturbase	m a s t u r b a s e
păpa	p ə p a
plictisiserăm	p l i k t i s i s e r ə m
prietenie	p r i e t e n i e
mică	m i k ə
zăpușite	z ə p u ʃ i t e
fereastră	f e r e̯ a s t r ə
seduceți	s e d u t͡ʃ e t͡sʲ
zona	z o n a
acestea	a t ʃ e s t e̯ a
întâlnea	ɨ n t ɨ l n j a
pornografica	p o r n o ɡ r a f i k a
călătoritul	k ə l ə t o r i t u
nebun	n e b u n
delirați	d e l i r a t͡sʲ
revoluție	ɾ e v o l u t͡s i e
înzestrase	ɨ n z e s t r a s e
apocalipticele	a p o k a l i p t i t͡ʃ e l e
uși	u ʃʲ
amintire	a m i n t i r e
ce	t͡ʃ e
cadavrelor	k a d a v r e l o r
boi	b o j
întristaseși	ɨ n t r i s t a s e ʃʲ
răni	r ə n i
excava	e k s k a v a
sept	s e p t
numii	n u m iː
stimulau	s t i m u l a w
tastatura	t a s t a t u r a
intern	i n t e r n
homosexuale	h o m o s e k s u a l e
numărul	n u m ə r u
