あば	a̠ b a̠
さきわい	s a̠ kʲ i ɰᵝ a̠ i
さっかく	s a̠ k̚ k a̠ k ɯ̟ᵝ
さまざま	s a̠ m a̠ z a̠ m a̠
さみだれ	s a̠ mʲ i d a̠ ɾ e̞
さみせん	s a̠ mʲ i s ẽ̞ ɴ
さっぱり	s a̠ p̚ p a̠ ɾʲ i
さっぽろ	s a̠ p̚ p o̞ ɾ o̞
ささはら	s a̠ s a̠ h a̠ ɾ a̠
ささわら	s a̠ s a̠ h a̠ ɾ a̠
ささくれ	s a̠ s a̠ k ɯ̟ᵝ ɾ e̞
ささげる	s a̠ s a̠ ɡ e̞ ɾ ɯ̟ᵝ
さすけね	s a̠ s ɨᵝ k e̞ n e̞
さとやま	s a̠ t o̞ j a̠ m a̠
さとうや	s a̠ t o̞ː j a̠
さつえい	s a̠ t͡s ɨᵝ e̞ː
さつがい	s a̠ t͡s ɨᵝ ɡ a̠ i
さつじん	s a̠ t͡s ɨᵝ ʑ ĩ ɴ
さちわい	s a̠ t͡ɕ i ɰᵝ a̠ i
さぞかし	s a̠ z o̞ k a̠ ɕ i
さがけん	s a̠ ɡ a̠ k ẽ̞ ɴ
さらじゅ	s a̠ ɾ a̠ ʑ ɨᵝ
さらのき	s a̠ ɾ a̠ ʑ ɨᵝ
さげもの	s a̠ ɡ e̞ m o̞ n o̞
さしぼう	s a̠ ɕ i b o̞ː
さしょう	s a̠ ɕ o̞ː
さしゅう	s a̠ ɕ ɨᵝː
さわらん	s a̠ ɰᵝ a̠ ɾ ã̠ ɴ
さっしん	s a̠ ɕː ĩ ɴ
さんぶつ	s ã̠ m b ɯ̟ᵝ t͡s ɨᵝ
さんぷく	s ã̠ m p ɯ̟ᵝ k ɯ̟ᵝ
さんまい	s ã̠ mː a̠ i
さんだつ	s ã̠ n d a̠ t͡s ɨᵝ
さんだん	s ã̠ n d ã̠ ɴ
さんたい	s ã̠ n t a̠ i
さんるい	s ã̠ n ɾ ɯ̟ᵝ i
さんかん	s ã̠ ŋ k ã̠ ɴ
さんけん	s ã̠ ŋ k ẽ̞ ɴ
さんがつ	s ã̠ ŋ ɡ a̠ t͡s ɨᵝ
さんげき	s ã̠ ŋ ɡ e̞ kʲ i
さんげん	s ã̠ ŋ ɡ ẽ̞ ɴ
さんごく	s ã̠ ŋ ɡ o̞ k ɯ̟ᵝ
さんえつ	s ã̠ ɰ̃ e̞ t͡s ɨᵝ
さんさい	s ã̠ ɰ̃ s a̠ i
さんさく	s ã̠ ɰ̃ s a̠ k ɯ̟ᵝ
さんせき	s ã̠ ɰ̃ s e̞ kʲ i
さんせい	s ã̠ ɰ̃ s e̞ː
さんせん	s ã̠ ɰ̃ s ẽ̞ ɴ
さんちゃ	s ã̠ ɲ̟ t͡ɕ a̠
さんした	s ã̠ ɰ̃ ɕ i t a̠
さんしん	s ã̠ ɰ̃ ɕ ĩ ɴ
せんいん	s ẽ i ɴ
せかいご	s e̞ k a̠ i ɡ o̞
せかせる	s e̞ k a̠ s e̞ ɾ ɯ̟ᵝ
せきえい	s e̞ kʲ i e̞ː
せきいつ	s e̞ kʲ i i t͡s ɨᵝ
せきたん	s e̞ kʲ i t ã̠ ɴ
せきとく	s e̞ kʲ i t o̞ k ɯ̟ᵝ
せきとう	s e̞ kʲ i t o̞ː
せきがえ	s e̞ kʲ i ɡ a̠ e̞
せきぐん	s e̞ kʲ i ɡ ɯ̟̃ᵝ ɴ
せきにん	s e̞ kʲ i ɲ̟ ĩ ɴ
せきうん	s e̞ kʲ i ɯ̟̃ᵝ ɴ
せっかい	s e̞ k̚ k a̠ i
せっかく	s e̞ k̚ k a̠ k ɯ̟ᵝ
せっかち	s e̞ k̚ k a̠ t͡ɕ i
せっこつ	s e̞ k̚ k o̞ t͡s ɨᵝ
せっきん	s e̞ k̚ʲ kʲ ĩ ɴ
せっぱく	s e̞ p̚ p a̠ k ɯ̟̊ᵝ
せっぱん	s e̞ p̚ p ã̠ ɴ
せっぺん	s e̞ p̚ p ẽ̞ ɴ
せっぷく	s e̞ p̚ p ɯ̟̊ᵝ k ɯ̟ᵝ
せっぷん	s e̞ p̚ p ɯ̟̃ᵝ ɴ
せせらぎ	s e̞ s e̞ ɾ a̠ ɡʲ i
せっさん	s e̞ sː ã̠ ɴ
せっせと	s e̞ sː e̞ t o̞
せともの	s e̞ t o̞ m o̞ n o̞
せってん	s e̞ t̚ t ẽ̞ ɴ
せっとく	s e̞ t̚ t o̞ k ɯ̟ᵝ
せっとう	s e̞ t̚ t o̞ː
せっちん	s e̞ t̚ t͡ɕ ĩ ɴ
せつびじ	s e̞ t͡s ɨᵝ bʲ i ʑ i
せつびご	s e̞ t͡s ɨᵝ bʲ i ɡ o̞
せつどう	s e̞ t͡s ɨᵝ d o̞ː
せついん	s e̞ t͡s ɨᵝ ĩ ɴ
せつざん	s e̞ t͡s ɨᵝ z ã̠ ɴ
せつぞく	s e̞ t͡s ɨᵝ z o̞ k ɯ̟ᵝ
せつれつ	s e̞ t͡s ɨᵝ ɾ e̞ t͡s ɨᵝ
せわやき	s e̞ ɰᵝ a̠ j a̠ kʲ i
せわしい	s e̞ ɰᵝ a̠ ɕ iː
せりあい	s e̞ ɾʲ i a̠ i
せりあう	s e̞ ɾʲ i a̠ ɯ̟ᵝ
せっしゅ	s e̞ ɕː ɯ̟ᵝ
せいあい	s e̞ː a̠ i
せいあつ	s e̞ː a̠ t͡s ɨᵝ
せいばい	s e̞ː b a̠ i
せいべつ	s e̞ː b e̞ t͡s ɨᵝ
せいぶつ	s e̞ː b ɯ̟ᵝ t͡s ɨᵝ
せいひつ	s e̞ː ç i t͡s ɨᵝ
せいだん	s e̞ː d ã̠ ɴ
せいどう	s e̞ː d o̞ː
せいえん	s e̞ː ẽ̞ ɴ
せいはい	s e̞ː h a̠ i
せいほう	s e̞ː h o̞ː
せいいく	s e̞ː i k ɯ̟ᵝ
せいいき	s e̞ː i kʲ i
せいよく	s e̞ː j o̞ k ɯ̟ᵝ
せいかい	s e̞ː k a̠ i
せいかく	s e̞ː k a̠ k ɯ̟ᵝ
せいかつ	s e̞ː k a̠ t͡s ɨᵝ
せいかご	s e̞ː k a̠ ɡ o̞
せいかん	s e̞ː k ã̠ ɴ
せいけつ	s e̞ː k e̞ t͡s ɨᵝ
せいけい	s e̞ː k e̞ː
せいこつ	s e̞ː k o̞ t͡s ɨᵝ
せいこう	s e̞ː k o̞ː
せいきか	s e̞ː kʲ i k a̠
せいきょ	s e̞ː kʲ o̞
せんばい	s ẽ̞ m b a̠ i
せんばん	s ẽ̞ m b ã̠ ɴ
せんべつ	s ẽ̞ m b e̞ t͡s ɨᵝ
せいめい	s e̞ː m e̞ː
せいもん	s e̞ː m õ̞ ɴ
せんぱい	s ẽ̞ m p a̠ i
せんぽう	s ẽ̞ m p o̞ː
せんぷう	s ẽ̞ m p ɯ̟ᵝː
せんめつ	s ẽ̞ mː e̞ t͡s ɨᵝ
せんもん	s ẽ̞ mː õ̞ ɴ
せんみん	s ẽ̞ mʲː ĩ ɴ
せんだい	s ẽ̞ n d a̠ i
せんでん	s ẽ̞ n d ẽ̞ ɴ
せんざい	s ẽ̞ n d͡z a̠ i
せんぞく	s ẽ̞ n d͡z o̞ k ɯ̟ᵝ
せんたい	s ẽ̞ n t a̠ i
せんたん	s ẽ̞ n t ã̠ ɴ
せんてつ	s ẽ̞ n t e̞ t͡s ɨᵝ
せんてん	s ẽ̞ n t ẽ̞ ɴ
せんとう	s ẽ̞ n t o̞ː
せんらん	s ẽ̞ n ɾ ã̠ ɴ
せんれい	s ẽ̞ n ɾ e̞ː
せんのう	s ẽ̞ nː o̞ː
せんぬき	s ẽ̞ nː ɯ̟ᵝ kʲ i
せいさい	s e̞ː s a̠ i
せいさく	s e̞ː s a̠ k ɯ̟ᵝ
せいせん	s e̞ː s ẽ̞ ɴ
せいそう	s e̞ː s o̞ː
せいすい	s e̞ː s ɨᵝ i
せいする	s e̞ː s ɨᵝ ɾ ɯ̟ᵝ
せいすう	s e̞ː s ɨᵝː
せいたい	s e̞ː t a̠ i
せいたん	s e̞ː t ã̠ ɴ
せいてき	s e̞ː t e̞ kʲ i
せいてい	s e̞ː t e̞ː
せいてん	s e̞ː t ẽ̞ ɴ
せいとく	s e̞ː t o̞ k ɯ̟̊ᵝ
せいとう	s e̞ː t o̞ː
せいざん	s e̞ː z ã̠ ɴ
せいぞん	s e̞ː z õ̞ ɴ
せいじゃ	s e̞ː ʑ a̠
せんぼん	s ẽ̞ ɴ b õ̞ ɴ
せいしき	s e̞ː ɕ i kʲ i
せいしつ	s e̞ː ɕ i t͡s ɨᵝ
せいじつ	s e̞ː ʑ i t͡s ɨᵝ
せいしん	s e̞ː ɕ ĩ ɴ
せいじん	s e̞ː ʑ ĩ ɴ
せんかん	s ẽ̞ ŋ k ã̠ ɴ
せんこう	s ẽ̞ ŋ k o̞ː
せいしょ	s e̞ː ɕ o̞
せいごう	s e̞ː ɡ o̞ː
せんがん	s ẽ̞ ŋ ɡ ã̠ ɴ
せんげつ	s ẽ̞ ŋ ɡ e̞ t͡s ɨᵝ
せんげん	s ẽ̞ ŋ ɡ ẽ̞ ɴ
せんごく	s ẽ̞ ŋ ɡ o̞ k ɯ̟ᵝ
せいしゅ	s e̞ː ɕ ɨᵝ
せいふく	s e̞ː ɸ ɯ̟̊ᵝ k ɯ̟ᵝ
せいぐん	s e̞ː ɡ ɯ̟̃ᵝ ɴ
せんじょ	s ẽ̞ ɲ̟ d͡ʑ o̞
せんえき	s ẽ̞ ɰ̃ e̞ kʲ i
せんえつ	s ẽ̞ ɰ̃ e̞ t͡s ɨᵝ
せんやく	s ẽ̞ ɰ̃ j a̠ k ɯ̟ᵝ
せいりき	s e̞ː ɾʲ o̞ k ɯ̟ᵝ
せんせき	s ẽ̞ ɰ̃ s e̞ kʲ i
せんちゃ	s ẽ̞ ɲ̟ t͡ɕ a̠
せんにょ	s ẽ̞ ɲ̟ ɲ̟ o̞
せいうん	s e̞ː ɯ̟̃ᵝ ɴ
そばむぎ	s o̞ b a̠
そまむぎ	s o̞ b a̠
そばうり	s o̞ b a̠ ɯ̟ᵝ ɾʲ i
そでぐち	s o̞ d e̞ ɡ ɯ̟ᵝ t͡ɕ i
そほうか	s o̞ h o̞ː k a̠
そこねる	s o̞ k o̞ n e̞ ɾ ɯ̟ᵝ
そこぬけ	s o̞ k o̞ n ɯ̟ᵝ k e̞
そくあつ	s o̞ k ɯ̟ᵝ a̠ t͡s ɨᵝ
そくばい	s o̞ k ɯ̟ᵝ b a̠ i
そくどく	s o̞ k ɯ̟ᵝ d o̞ k ɯ̟ᵝ
そくなん	s o̞ k ɯ̟ᵝ n ã̠ ɴ
そくとう	s o̞ k ɯ̟ᵝ t o̞ː
そくじょ	s o̞ k ɯ̟ᵝ ʑ o̞
そくほう	s o̞ k ɯ̟̊ᵝ h o̞ː
そっこく	s o̞ k̚ k o̞ k ɯ̟ᵝ
そもそも	s o̞ m o̞ s o̞ m o̞
そむける	s o̞ m ɯ̟ᵝ k e̞ ɾ ɯ̟ᵝ
そなえる	s o̞ n a̠ e̞ ɾ ɯ̟ᵝ
そのよう	s o̞ n o̞ j o̞ː
そとわく	s o̞ t o̞ ɰᵝ a̠ k ɯ̟ᵝ
そとうば	s o̞ t o̞ː b a̠
そつろん	s o̞ t͡s ɨᵝ ɾ õ̞ ɴ
そらみみ	s o̞ ɾ a̠ mʲ i mʲ i
そろばん	s o̞ ɾ o̞ b ã̠ ɴ
そろそろ	s o̞ ɾ o̞ s o̞ ɾ o̞
そうあん	s o̞ː ã̠ ɴ
そうだい	s o̞ː d a̠ i
そうどく	s o̞ː d o̞ k ɯ̟ᵝ
そうへき	s o̞ː h e̞ kʲ i
そうへん	s o̞ː h ẽ̞ ɴ
そうかん	s o̞ː k ã̠ ɴ
そんぼう	s õ̞ m b o̞ː
そうめい	s o̞ː m e̞ː
そうねん	s o̞ː n ẽ̞ ɴ
そんとく	s õ̞ n t o̞ k ɯ̟ᵝ
そんらく	s õ̞ n ɾ a̠ k ɯ̟ᵝ
そんのう	s õ̞ nː o̞ː
そうせい	s o̞ː s e̞ː
そうそう	s o̞ː s o̞ː
そうたい	s o̞ː t a̠ i
そうとう	s o̞ː t o̞ː
そうざい	s o̞ː z a̠ i
そうぞく	s o̞ː z o̞ k u͍
そうぞう	s o̞ː z o̞ː
そうがい	s o̞ː ɡ a̠ i
そうらい	s o̞ː ɾ a̠ i
そうがく	s o̞ː ɡ a̠ k ɯ̟ᵝ
そうげつ	s o̞ː ɡ e̞ t͡s ɨᵝ
そうげい	s o̞ː ɡ e̞ː
そうしき	s o̞ː ɕ i kʲ i
そうじふ	s o̞ː ʑ i ɸ ɯ̟ᵝ
そんかい	s õ̞ ŋ k a̠ i
そんけい	s õ̞ ŋ k e̞ː
そんきょ	s õ̞ ŋ k o̞
そうしょ	s o̞ː ɕ o̞
そうろう	s o̞ː ɾ o̞ː
そうしゅ	s o̞ː ɕ ɨᵝ
そんえき	s õ̞ ɰ̃ e̞ kʲ i
そうぎや	s o̞ː ɡʲ i j a̠
そんおう	s õ̞ ɰ̃ o̞ː
そううけ	s o̞ː ɯ̟ᵝ k e̞
そううん	s o̞ː ɯ̟̃ᵝ ɴ
すべらぎ	s ɨᵝ b e̞ ɾ a̠ ɡʲ i
すぼまる	s ɨᵝ b o̞ m a̠ ɾ ɯ̟ᵝ
すぼめる	s ɨᵝ b o̞ m e̞ ɾ ɯ̟ᵝ
すどまり	s ɨᵝ d o̞ m a̠ ɾʲ i
すどおり	s ɨᵝ d o̞ː ɾʲ i
すえっこ	s ɨᵝ e̞ k̚ k o̞
すえおき	s ɨᵝ e̞ o̞ kʲ i
すいあつ	s ɨᵝ i a̠ t͡s ɨᵝ
すいぼう	s ɨᵝ i b o̞ː
すいぶん	s ɨᵝ i b ɯ̟̃ᵝ ɴ
すいでん	s ɨᵝ i d ẽ̞ ɴ
すいえい	s ɨᵝ i e̞ː
すいはん	s ɨᵝ i h ã̠ ɴ
すいへい	s ɨᵝ i h e̞ː
すいへん	s ɨᵝ i h ẽ̞ ɴ
すいほう	s ɨᵝ i h o̞ː
すいいき	s ɨᵝ i i kʲ i
すいやく	s ɨᵝ i j a̠ k ɯ̟ᵝ
すいよう	s ɨᵝ i j o̞ː
すいかん	s ɨᵝ i k ã̠ ɴ
すいけい	s ɨᵝ i k e̞ː
すいこみ	s ɨᵝ i k o̞ mʲ i
すいめん	s ɨᵝ i m ẽ̞ ɴ
すいもん	s ɨᵝ i m õ̞ ɴ
すいみん	s ɨᵝ i mʲ ĩ ɴ
すいおん	s ɨᵝ i õ̞ ɴ
すいさい	s ɨᵝ i s a̠ i
すいさつ	s ɨᵝ i s a̠ t͡s ɨᵝ
すいさん	s ɨᵝ i s ã̠ ɴ
すいせき	s ɨᵝ i s e̞ kʲ i
すいせい	s ɨᵝ i s e̞ː
すいせん	s ɨᵝ i s ẽ̞ ɴ
すいそか	s ɨᵝ i s o̞ k a̠
すいそう	s ɨᵝ i s o̞ː
すいたい	s ɨᵝ i t a̠ i
すいてい	s ɨᵝ i t e̞ː
すいとう	s ɨᵝ i t o̞ː
すいぜん	s ɨᵝ i z ẽ̞ ɴ
すいぞう	s ɨᵝ i z o̞ː
すいしゃ	s ɨᵝ i ɕ a̠
すいがい	s ɨᵝ i ɡ a̠ i
すいらい	s ɨᵝ i ɾ a̠ i
すいがら	s ɨᵝ i ɡ a̠ ɾ a̠
すいがん	s ɨᵝ i ɡ ã̠ ɴ
すいげん	s ɨᵝ i ɡ ẽ̞ ɴ
すいれん	s ɨᵝ i ɾ ẽ̞ ɴ
すいしつ	s ɨᵝ i ɕ i̥ t͡s ɨᵝ
すいじん	s ɨᵝ i ʑ ĩ ɴ
すいろく	s ɨᵝ i ɾ o̞ k ɯ̟ᵝ
すいろん	s ɨᵝ i ɾ õ̞ ɴ
すいぎん	s ɨᵝ i ɡʲ ĩ ɴ
すいうん	s ɨᵝ i ɯ̟̃ᵝ ɴ
すこぶる	s ɨᵝ k o̞ b ɯ̟ᵝ ɾ ɯ̟ᵝ
すませる	s ɨᵝ m a̠ s e̞ ɾ ɯ̟ᵝ
すめらぎ	s ɨᵝ m e̞ ɾ a̠ ɡʲ i
すなはま	s ɨᵝ n a̠ h a̠ m a̠
すなねこ	s ɨᵝ n a̠ n e̞ k o̞
すなのみ	s ɨᵝ n a̠ n o̞ mʲ i
すそよけ	s ɨᵝ s o̞ j o̞ k e̞
すすんで	s ɨᵝ s ɨ̃ᵝ n d e̞
すずかぜ	s ɨᵝ z ɨᵝ k a̠ z e̞
すずめが	s ɨᵝ z ɨᵝ m e̞ ɡ a̠
すずむし	s ɨᵝ z ɨᵝ m ɯ̟ᵝ ɕ i
すずなり	s ɨᵝ z ɨᵝ n a̠ ɾʲ i
すじゃく	s ɨᵝ ʑ a̠ k ɯ̟ᵝ
すじみち	s ɨᵝ ʑ i mʲ i t͡ɕ i
すじがき	s ɨᵝ ʑ i ɡ a̠ kʲ i
すごすご	s ɨᵝ ɡ o̞ s ɨᵝ ɡ o̞
すごろく	s ɨᵝ ɡ o̞ ɾ o̞ k ɯ̟ᵝ
すうろん	s ɨᵝ ɾ õ̞ ɴ
すりこむ	s ɨᵝ ɾʲ i k o̞ m ɯ̟ᵝ
すけだち	s ɨ̥ᵝ k e̞ d a̠ t͡ɕ i
すうけい	s ɨᵝː k e̞ː
すこやか	s ɨ̥ᵝ k o̞ j a̠ k a̠
すうこう	s ɨᵝː k o̞ː
すきずき	s ɨ̥ᵝ kʲ i z ɨᵝ kʲ i
すっかり	s ɨ̥ᵝ k̚ k a̠ ɾʲ i
すっぽん	s ɨ̥ᵝ p̚ p õ̞ ɴ
すさのお	s ɨ̥ᵝ s a̠ n o̞ o̞
すうせい	s ɨᵝː s e̞ː
すてがな	s ɨ̥ᵝ t e̞ ɡ a̠ n a̠
すうがく	s ɨᵝː ɡ a̠ k ɯ̟ᵝ
すうじく	s ɨᵝː ʑ i k ɯ̟ᵝ
すうしき	s ɨᵝː ɕ i kʲ i
たべもの	t a̠ b e̞ m o̞ n o̞
たびびと	t a̠ bʲ i bʲ i t o̞
たびだつ	t a̠ bʲ i d a̠ t͡s ɨᵝ
たびさき	t a̠ bʲ i s a̠ kʲ i
たびたび	t a̠ bʲ i t a̠ bʲ i
たびにん	t a̠ bʲ i ɲ̟ ĩ ɴ
たびうど	t a̠ bʲ i ɯ̟ᵝ d o̞
ただいま	t a̠ d a̠ i m a̠
ただおみ	t a̠ d a̠ o̞ mʲ i
たどうし	t a̠ d o̞ː ɕ i
たいだん	t a̠ i d ã̠ ɴ
たいえき	t a̠ i e̞ kʲ i
たいはい	t a̠ i h a̠ i
たいへん	t a̠ i h ẽ̞ ɴ
たいほく	t a̠ i h o̞ k ɯ̟ᵝ
たいほう	t a̠ i h o̞ː
たいよう	t a̠ i j o̞ː
たいかい	t a̠ i k a̠ i
たいかく	t a̠ i k a̠ k ɯ̟ᵝ
たいけつ	t a̠ i k e̞ t͡s ɨᵝ
たいけい	t a̠ i k e̞ː
たいけん	t a̠ i k ẽ̞ ɴ
たいいく	t a̠ i k ɯ̟ᵝ
たいくつ	t a̠ i k ɯ̟ᵝ t͡s ɨᵝ
たいくう	t a̠ i k ɯ̟ᵝː
たいくん	t a̠ i k ɯ̟̃ᵝ ɴ
たいきょ	t a̠ i kʲ o̞
たいまい	t a̠ i m a̠ i
たいめん	t a̠ i m ẽ̞ ɴ
たいもう	t a̠ i m o̞ː
たいのう	t a̠ i n o̞ː
たいおう	t a̠ i o̞ː
たいぺい	t a̠ i p e̞ː
たいさい	t a̠ i s a̠ i
たいさく	t a̠ i s a̠ k ɯ̟ᵝ
たいさん	t a̠ i s ã̠ ɴ
たいせき	t a̠ i s e̞ kʲ i
たいせい	t a̠ i s e̞ː
たいせん	t a̠ i s ẽ̞ ɴ
たいそう	t a̠ i s o̞ː
たいすい	t a̠ i s ɨᵝ i
たいすう	t a̠ i s ɨᵝː
たいてい	t a̠ i t e̞ː
たいとう	t a̠ i t o̞ː
たいしゃ	t a̠ i ɕ a̠
たいがい	t a̠ i ɡ a̠ i
たいれつ	t a̠ i ɾ e̞ t͡s ɨᵝ
たいげん	t a̠ i ɡ ẽ̞ ɴ
たいしつ	t a̠ i ɕ i t͡s ɨᵝ
たいじん	t a̠ i ʑ ĩ ɴ
たいしょ	t a̠ i ɕ o̞
たいぐう	t a̠ i ɡ ɯ̟ᵝː
たいりく	t a̠ i ɾʲ i k ɯ̟ᵝ
たいりつ	t a̠ i ɾʲ i t͡s ɨᵝ
たゆたい	t a̠ j ɯ̟ᵝ t a̠ i
たゆたう	t a̠ j ɯ̟ᵝ t a̠ ɯ̟ᵝ
たゆとう	t a̠ j ɯ̟ᵝ t o̞ː
たかぶる	t a̠ k a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ
たかひこ	t a̠ k a̠ ç i k o̞
たかどの	t a̠ k a̠ d o̞ n o̞
たかはし	t a̠ k a̠ h a̠ ɕ i
たかやぶ	t a̠ k a̠ j a̠ b ɯ̟ᵝ
たけやぶ	t a̠ k a̠ j a̠ b ɯ̟ᵝ
たかよし	t a̠ k a̠ j o̞ ɕ i
たかまつ	t a̠ k a̠ m a̠ t͡s ɨᵝ
たかのぶ	t a̠ k a̠ n o̞ b ɯ̟ᵝ
たかのり	t a̠ k a̠ n o̞ ɾʲ i
たからか	t a̠ k a̠ ɾ a̠ k a̠
たけひこ	t a̠ k e̞ ç i k o̞
たけひろ	t a̠ k e̞ ç i ɾ o̞
たけはる	t a̠ k e̞ h a̠ ɾ ɯ̟ᵝ
たけよし	t a̠ k e̞ j o̞ ɕ i
たけゆき	t a̠ k e̞ j ɯ̟ᵝ kʲ i
たけみや	t a̠ k e̞ mʲ i j a̠
たけのこ	t a̠ k e̞ n o̞ k o̞
たけぐし	t a̠ k e̞ ɡ ɯ̟ᵝ ɕ i
たこつぼ	t a̠ k o̞ t͡s ɨᵝ b o̞
たくぜつ	t a̠ k ɯ̟ᵝ z e̞ t͡s ɨᵝ
たくろう	t a̠ k ɯ̟ᵝ ɾ o̞ː
たきょう	t a̠ kʲ o̞ː
たまゆら	t a̠ m a̠ j ɯ̟ᵝ ɾ a̠
たまねぎ	t a̠ m a̠ n e̞ ɡʲ i
たまつき	t a̠ m a̠ t͡s ɨ̥ᵝ kʲ i
たましい	t a̠ m a̠ ɕ iː
たまぐし	t a̠ m a̠ ɡ ɯ̟ᵝ ɕ i
ためがき	t a̠ m e̞ ɡ a̠ kʲ i
たおやか	t a̠ o̞ j a̠ k a̠
たおやめ	t a̠ o̞ j a̠ m e̞
たおんじ	t a̠ õ̞ ɲ̟ d͡ʑ i
たっぷり	t a̠ p̚ p ɯ̟ᵝ ɾʲ i
たそがれ	t a̠ s o̞ ɡ a̠ ɾ e̞
たたかい	t a̠ t a̠ k a̠ i
たてあみ	t a̠ t e̞ a̠ mʲ i
たてなが	t a̠ t e̞ n a̠ ɡ a̠
たてがみ	t a̠ t e̞ ɡ a̠ mʲ i
たとえば	t a̠ t o̞ e̞ b a̠
たつやま	t a̠ t͡s ɨᵝ j a̠ m a̠
たつまき	t a̠ t͡s ɨᵝ m a̠ kʲ i
たつじん	t a̠ t͡s ɨᵝ ʑ ĩ ɴ
たちばな	t a̠ t͡ɕ i b a̠ n a̠
たちよみ	t a̠ t͡ɕ i j o̞ mʲ i
たちのく	t a̠ t͡ɕ i n o̞ k ɯ̟ᵝ
たちぐい	t a̠ t͡ɕ i ɡ ɯ̟ᵝ i
たちぎき	t a̠ t͡ɕ i ɡʲ i kʲ i
たちうお	t a̠ t͡ɕ i ɯ̟ᵝ o̞
たがえる	t a̠ ɡ a̠ e̞ ɾ ɯ̟ᵝ
たしざん	t a̠ ɕ i z ã̠ ɴ
たるみず	t a̠ ɾ ɯ̟ᵝ mʲ i z ɨᵝ
たうなぎ	t a̠ ɯ̟ᵝ n a̠ ɡʲ i
たんぱく	t ã̠ m p a̠ k ɯ̟ᵝ
たんぱつ	t ã̠ m p a̠ t͡s ɨᵝ
たんぴん	t ã̠ m pʲ ĩ ɴ
たんまつ	t ã̠ mː a̠ t͡s ɨᵝ
たんめい	t ã̠ mː e̞ː
たんざく	t ã̠ n d͡z a̠ k ɯ̟ᵝ
たんとう	t ã̠ n t o̞ː
たんらく	t ã̠ n ɾ a̠ k ɯ̟ᵝ
たんのう	t ã̠ nː o̞ː
たんけん	t ã̠ ŋ k ẽ̞ ɴ
たんこう	t ã̠ ŋ k o̞ː
たんこん	t ã̠ ŋ k õ̞ ɴ
たんげい	t ã̠ ŋ ɡ e̞ː
たんげん	t ã̠ ŋ ɡ ẽ̞ ɴ
たんあん	t ã̠ ɰ̃ ã̠ ɴ
たんよう	t ã̠ ɰ̃ j o̞ː
たんおう	t ã̠ ɰ̃ o̞ː
たんさん	t ã̠ ɰ̃ s ã̠ ɴ
たんしゃ	t ã̠ ɰ̃ ɕ a̠
たんしき	t ã̠ ɰ̃ ɕ i kʲ i
たんしょ	t ã̠ ɰ̃ ɕ o̞
たんにん	t ã̠ ɲ̟ ɲ̟ ĩ ɴ
てんどさ	t e n̩ d o s aː
てあらい	t e̞ a̠ ɾ a̠ i
てぶくろ	t e̞ b ɯ̟ᵝ k ɯ̟ᵝ ɾ o̞
てびろい	t e̞ bʲ i ɾ o̞ i
てへぺろ	t e̞ h e̞ p e̞ ɾ o̞
てきだん	t e̞ kʲ i d ã̠ ɴ
てきやく	t e̞ kʲ i j a̠ k ɯ̟ᵝ
てきよう	t e̞ kʲ i j o̞ː
てきしゅ	t e̞ kʲ i ɕ ɨᵝ
てっかい	t e̞ k̚ k a̠ i
てっこつ	t e̞ k̚ k o̞ t͡s ɨᵝ
てっきん	t e̞ k̚ʲ kʲ ĩ ɴ
たてまえ	t e̞ m a̠ e̞
てまわし	t e̞ m a̠ ɰᵝ a̠ ɕ i
てみじか	t e̞ mʲ i ʑ i k a̠
てのひら	t e̞ n o̞ ç i ɾ a̠
てぬかり	t e̞ n ɯ̟ᵝ k a̠ ɾʲ i
てぬぐい	t e̞ n ɯ̟ᵝ ɡ ɯ̟ᵝ i
てっぱん	t e̞ p̚ p ã̠ ɴ
てっとう	t e̞ t̚ t o̞ː
てっつい	t e̞ t̚ t͡s ɨᵝ i
てつびん	t e̞ t͡s ɨᵝ bʲ ĩ ɴ
てつくず	t e̞ t͡s ɨᵝ k ɯ̟ᵝ z ɨᵝ
てつづき	t e̞ t͡s ɨᵝ z ɨᵝ kʲ i
てちょう	t e̞ t͡ɕ o̞ː
てづくり	t e̞ z ɨᵝ k ɯ̟ᵝ ɾʲ i
てごころ	t e̞ ɡ o̞ k o̞ ɾ o̞
てじょう	t e̞ ʑ o̞ː
てるひで	t e̞ ɾ ɯ̟ᵝ ç i d e̞
てるよし	t e̞ ɾ ɯ̟ᵝ j o̞ ɕ i
てるふみ	t e̞ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ mʲ i
てりやき	t e̞ ɾʲ i j a̠ kʲ i
ていぼう	t e̞ː b o̞ː
ていでん	t e̞ː d ẽ̞ ɴ
ていけつ	t e̞ː k e̞ t͡s ɨᵝ
ていこく	t e̞ː k o̞ k ɯ̟ᵝ
ていこう	t e̞ː k o̞ː
ていきん	t e̞ː kʲ ĩ ɴ
ていもう	t e̞ː m o̞ː
てんぷら	t ẽ̞ m p ɯ̟ᵝ ɾ a̠
てんめい	t ẽ̞ mː e̞ː
てんもう	t ẽ̞ mː o̞ː
てんざい	t ẽ̞ n d͡z a̠ i
てんたい	t ẽ̞ n t a̠ i
てんてん	t ẽ̞ n t ẽ̞ ɴ
てんとう	t ẽ̞ n t o̞ː
